84	9	101
87	25	100
40	48	138
44	53	117
45	52	118
78	9	105
31	5	122
10	9	109
56	28	151
53	41	138
60	25	150
48	25	170
64	3	116
47	32	159
33	33	158
4	33	122
27	11	149
72	54	97
78	14	106
76	56	96
81	55	95
23	33	174
61	15	144
49	42	134
3	40	118
28	53	149
17	24	180
37	36	168
60	50	108
43	42	138
17	27	184
67	32	128
78	45	96
11	58	109
15	55	114
50	7	120
53	4	116
43	46	130
67	48	105
48	37	145
2	43	110
37	45	158
80	41	99
18	48	152
56	25	153
43	29	166
50	8	121
76	10	108
44	2	111
82	40	99
65	58	101
76	12	111
52	36	146
74	24	125
72	28	125
31	37	155
70	51	99
80	42	98
29	30	160
36	6	116
73	41	107
59	57	104
57	27	151
82	27	110
1	42	108
43	24	165
5	38	132
34	51	149
14	28	170
55	4	115
16	29	182
28	13	151
35	1	110
49	38	143
31	36	152
12	30	165
71	17	134
71	27	129
69	47	100
37	37	166
36	30	176
34	22	168
46	54	114
44	44	132
9	22	129
5	49	110
9	47	122
45	47	127
66	30	135
62	55	104
8	55	110
55	56	106
84	35	100
28	10	145
67	3	118
32	31	159
60	26	150
62	6	118
11	16	125
27	35	157
49	35	151
19	55	119
4	9	103
2	53	108
56	29	149
16	31	183
50	16	142
27	2	124
35	56	122
25	59	110
2	8	101
3	2	102
78	29	112
15	21	165
20	46	169
83	54	95
28	52	154
69	60	99
17	61	104
68	14	139
81	57	95
81	34	105
9	27	137
66	44	116
42	22	160
36	28	178
61	32	137
76	47	96
1	35	110
87	45	95
67	57	100
23	20	177
24	10	144
55	6	117
39	51	130
59	11	132
79	18	103
60	38	140
81	43	97
53	51	113
36	50	148
4	56	107
34	39	170
86	38	98
47	6	118
34	18	151
44	21	154
47	4	116
44	26	166
32	27	173
27	32	158
68	3	119
47	33	157
60	55	104
28	1	118
60	32	138
53	59	105
52	37	145
69	59	99
73	6	113
84	41	98
45	27	168
11	26	150
87	50	94
41	57	110
82	45	96
61	59	102
79	42	98
16	6	121
83	43	97
17	16	149
24	30	175
36	45	163
62	2	115
5	60	106
62	25	150
80	16	104
13	56	112
12	10	114
32	39	169
45	46	128
33	20	160
39	44	146
63	43	131
36	51	142
87	20	100
56	2	112
6	15	106
83	13	101
78	3	102
20	5	129
32	19	160
63	5	117
67	11	130
80	38	101
47	60	106
34	61	109
72	17	127
25	26	183
73	21	129
16	58	110
25	1	123
33	4	116
46	13	131
54	20	153
29	25	180
35	34	167
58	45	128
65	11	131
29	14	153
78	20	103
83	39	99
68	45	110
80	61	95
5	51	110
81	29	111
64	45	119
33	18	153
44	11	125
